  [baseline__clean__seed0] acc=0.1675 diverged=False (149.1s)
  [baseline__clean__seed1] acc=0.1797 diverged=False (144.1s)
  [baseline__clean__seed2] acc=0.2152 diverged=False (140.9s)
  [baseline__ipm__seed0] acc=0.1684 diverged=False (123.7s)
  [baseline__ipm__seed1] acc=0.1909 diverged=False (122.7s)
  [baseline__ipm__seed2] acc=0.1364 diverged=False (125.4s)
  [ac21__clean__q0.3__seed0] acc=0.1675 diverged=False final_tau=50.000 (122.4s)
  [ac21__clean__q0.3__seed1] acc=0.1797 diverged=False final_tau=50.000 (120.1s)
  [ac21__clean__q0.3__seed2] acc=0.2152 diverged=False final_tau=50.000 (121.6s)
  [ac21__clean__q0.5__seed0] acc=0.1675 diverged=False final_tau=50.000 (121.2s)
  [ac21__clean__q0.5__seed1] acc=0.1797 diverged=False final_tau=50.000 (122.3s)
  [ac21__clean__q0.5__seed2] acc=0.2152 diverged=False final_tau=50.000 (120.5s)
  [ac21__clean__q0.7__seed0] acc=0.1675 diverged=False final_tau=50.000 (122.6s)
  [ac21__clean__q0.7__seed1] acc=0.1797 diverged=False final_tau=50.000 (122.0s)
  [ac21__clean__q0.7__seed2] acc=0.2152 diverged=False final_tau=50.000 (121.4s)
  [ac21__ipm__q0.3__seed0] acc=0.1684 diverged=False final_tau=50.000 (129.3s)
  [ac21__ipm__q0.3__seed1] acc=0.1909 diverged=False final_tau=50.000 (126.6s)
  [ac21__ipm__q0.3__seed2] acc=0.1364 diverged=False final_tau=50.000 (127.0s)
  [ac21__ipm__q0.5__seed0] acc=0.1684 diverged=False final_tau=50.000 (126.0s)
  [ac21__ipm__q0.5__seed1] acc=0.1909 diverged=False final_tau=50.000 (126.3s)
  [ac21__ipm__q0.5__seed2] acc=0.1364 diverged=False final_tau=50.000 (124.4s)
  [ac21__ipm__q0.7__seed0] acc=0.1684 diverged=False final_tau=50.000 (126.8s)
  [ac21__ipm__q0.7__seed1] acc=0.1909 diverged=False final_tau=50.000 (127.0s)
  [ac21__ipm__q0.7__seed2] acc=0.1364 diverged=False final_tau=50.000 (128.0s)

Adaptive-clip pilot done.
